Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Slender Collomia,,Endangered,01/11/03,Collomia tenella,Slender Collomia,,Endangered,Schedule 1,14/07/05,British Columbia,Vascular Plants,,Add
Slender Mouse-ear-cress,,Threatened,01/05/00,Halimolobos virgata,Slender Mouse-ear-cress,,Threatened,Schedule 1,05/06/03,"Alberta, Saskatchewan",Vascular Plants,,Add
Slender Popcornflower,,Threatened,28/11/08,Plagiobothrys tenellus,Slender Popcornflower,,Threatened,Schedule 1,04/02/11,British Columbia,Vascular Plants,,Add
Slender Woolly-heads,,Not at Risk,01/04/96,Psilocarphus tenellus  var. tenellus,,,No Status,No schedule,,British Columbia,Vascular Plants,,
Slender Yoke-moss,,Endangered,29/11/19,Zygodon gracilis,Slender Yoke-moss,,No Status,No schedule,,British Columbia,Mosses,Addition,Pending
Small White Lady's-slipper,,Threatened,28/11/14,Cypripedium candidum,Small White Lady's-slipper,,Threatened,Schedule 1,05/06/03,"Manitoba, Ontario",Vascular Plants,,Downlist
Small Whorled Pogonia,,Endangered,06/05/11,Isotria medeoloides,Small Whorled Pogonia,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Small-flowered Lipocarpha,,Endangered,01/11/02,Lipocarpha micrantha,Small-flowered Lipocarpha,,Endangered,Schedule 1,12/01/05,"British Columbia, Ontario",Vascular Plants,,Add
Small-flowered Sand-verbena,,Endangered,01/11/02,Tripterocalyx micranthus,Small-flowered Sand-verbena,,Endangered,Schedule 1,12/01/05,"Alberta, Saskatchewan",Vascular Plants,,Add
Small-flowered Tonella,,Endangered,01/11/03,Tonella tenella,Small-flowered Tonella,,Endangered,Schedule 1,14/07/05,British Columbia,Vascular Plants,,Add
Small-mouthed Salamander,,Endangered,02/05/14,Ambystoma texanum,Small-mouthed Salamander,,Endangered,Schedule 1,14/07/05,Ontario,Amphibians,,Add
Smoker‰Ûªs Lung Lichen,,Threatened,27/04/18,Lobaria retigera,Smoker‰Ûªs Lung Lichen,,No Status,No schedule,,British Columbia,Lichens,Addition,Pending
Smooth Goosefoot,,Threatened,29/04/06,Chenopodium subglabrum,Smooth Goosefoot,,Threatened,Schedule 1,13/12/07,"Alberta, Saskatchewan, Manitoba",Vascular Plants,,Add
Smooth Skate,Funk Island Deep population,Endangered,04/05/12,Malacoraja senta,Smooth Skate,Funk Island Deep population,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending
Smooth Skate,Hopedale Channel population,Data Deficient,04/05/12,Malacoraja senta,Smooth Skate,Hopedale Channel population,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Smooth Skate,Laurentian-Scotian population,Special Concern,04/05/12,Malacoraja senta,Smooth Skate,Laurentian-Scotian population,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, New Brunswick, Nova Scotia",Fishes (marine),Addition,Pending
Smooth Skate,Nose of the Grand Bank population,Data Deficient,04/05/12,Malacoraja senta,Smooth Skate,Nose of the Grand Bank population,No Status,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Smooth Yellow False Foxglove,,Threatened,27/04/18,Aureolaria flava,Smooth Yellow False Foxglove,,No Status,No schedule,,Ontario,Vascular Plants,Addition,Pending
Puget Oregonian,,Extirpated,03/05/13,Cryptomastix devia,Snail Puget Oregonian,,Extirpated,Schedule 1,12/01/05,British Columbia,Molluscs,,Add
Snapping Turtle,,Special Concern,28/11/08,Chelydra serpentina,Snapping Turtle,,Special Concern,Schedule 1,04/02/11,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Reptiles,,Add
Snowy Owl,,Not at Risk,01/04/95,Bubo scandiaca,,,No Status,No schedule,,"Yukon, Northwest Territories, Nunavut, Manitoba, Quebec, Newfoundland and Labrador",Birds,,
Snuffbox,,Endangered,25/11/11,Epioblasma triquetra,Snuffbox,,Endangered,Schedule 1,05/06/03,Ontario,Molluscs,,
Soapweed,,Threatened,03/05/13,Yucca glauca,Soapweed,,Threatened,Schedule 1,05/06/03,"Alberta, Saskatchewan",Vascular Plants,,
Sockeye Salmon,Adams-ES population (original),Extinct,01/12/21,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Alouette-ES population (original),Special Concern,01/12/21,Oncorhynchus nerka,Sockeye Salmon,Alouette-ES population (original),No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Anderson-Seton-ES population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Bowron-ES population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Bowron-ES population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Chilko-ES population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Chilko-S population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Chilliwack-ES population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Coquitlam-ES population (original),Special Concern,01/12/21,Oncorhynchus nerka,Sockeye Salmon,Coquitlam-ES population (original),No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Cultus-L population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Cultus-L population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Francois-Fraser-S population,Special Concern,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Francois-Fraser-S population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Fraser-ES population (original),Endangered,01/12/21,Oncorhynchus nerka,Sockeye Salmon,Fraser-ES population (original),No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Harrison (D/S)-L population,Special Concern,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Harrison (D/S)-L population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison (U/S)-L population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Harrison (U/S)-L population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison River (River-Type) population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Kamloops-ES population,Special Concern,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Kamloops-ES population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Lillooet-Harrison-L population,Special Concern,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Lillooet-Harrison-L population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Momich-ES population (original),Endangered,01/12/21,Oncorhynchus nerka,Sockeye Salmon,Momich-ES population (original),No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Nadina-Francois-ES population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Nahatlatch-ES population,Special Concern,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Nahatlatch-ES population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population (original),Extinct,01/12/21,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,North Barriere-ES population,Threatened,01/11/17,Oncorhynchus nerka,Sockeye Salmon,North Barriere-ES population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Pitt-ES population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Quesnel-S population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Quesnel-S population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Sakinaw population,Endangered,29/04/16,Oncorhynchus nerka,Sockeye Salmon,Sakinaw population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-L population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Seton-L population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-S population (original),Extinct,01/12/21,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap Complex-L population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap-ES population,Not at Risk,01/11/17,Oncorhynchus nerka,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Takla-Trembleur-EStu population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Takla-Trembleur-EStu population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Takla-Trembleur-Stuart-S population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Takla-Trembleur-Stuart-S population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Taseko-ES population,Endangered,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Taseko-ES population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Widgeon (River-Type) population,Threatened,01/11/17,Oncorhynchus nerka,Sockeye Salmon,Widgeon (River-Type) population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sonora Skipper,,Not at Risk,27/11/16,Polites sonora,Sonora Skipper,,No Status,No schedule,,British Columbia,Arthropods,,Delist
Southern Flying Squirrel,,Non-active,29/04/06,Glaucomys volans,Southern Flying Squirrel,,Special Concern,,,"Ontario, Quebec, Nova Scotia",Mammals (terrestrial),,
Southern Flying Squirrel,Atlantic (Nova Scotia) population,Not at Risk,29/04/06,Glaucomys volans,,,No Status,No schedule,,Nova Scotia,Mammals (terrestrial),,
Southern Flying Squirrel,Great Lakes Plains population,Not at Risk,29/04/06,Glaucomys volans,,,No Status,No schedule,,"Ontario, Quebec",Mammals (terrestrial),,
Southern Grey Wolf,,Not at Risk,01/04/99,Canis lupus  nubilus,,,No Status,No schedule,,British Columbia,Mammals (terrestrial),,
Southern Maidenhair Fern,,Endangered,06/05/11,Adiantum capillus-veneris,Southern Maidenhair Fern,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Sowerby's Beaked Whale,,Special Concern,03/05/19,Mesoplodon bidens,Sowerby's Beaked Whale,,Special Concern,Schedule 1,23/06/11,Atlantic Ocean,Mammals (marine),,Add
Spalding's Campion,,Endangered,05/05/05,Silene spaldingii,Spalding's Campion,,Endangered,Schedule 1,15/08/06,British Columbia,Vascular Plants,,Add
Speckled Dace,,Endangered,27/11/16,Rhinichthys osculus,Speckled Dace,,Endangered,Schedule 1,05/03/09,British Columbia,Fishes (freshwater),,Add
Sperm Whale,,Not at Risk,01/04/96,Physeter macrocephalus,,,No Status,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Spike-lip Crater,,Not at Risk,01/11/03,Appalachina sayana,,,No Status,No schedule,,"Ontario, Quebec, New Brunswick, Nova Scotia",Molluscs,,
Spiked Saxifrage,,Special Concern,01/05/15,Micranthes spicata,Spiked Saxifrage,,Special Concern,Schedule 1,25/02/19,Yukon,Vascular Plants,,Add
Spiny Dogfish,Atlantic population,Special Concern,25/04/10,Squalus acanthias,Spiny Dogfish,Atlantic population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Spiny Softshell,,Endangered,29/04/16,Apalone spinifera,Spiny Softshell,,Endangered,Schedule 1,12/01/05,"Ontario, Quebec",Reptiles,,Uplist
Spinynose Sculpin,,Data Deficient,01/04/97,Asemichthys taylori,Spinynose Sculpin,,No Status,No schedule,,Pacific Ocean,Fishes (marine),,
Spoon-leaved Moss,,Threatened,01/11/17,Bryoandersonia illecebra,Spoon-leaved Moss,,Threatened,Schedule 1,12/01/05,Ontario,Mosses,,Downlist
Spoonhead Sculpin,,Not at Risk,01/04/89,Cottus ricei,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec",Fishes (freshwater),,
Spotted Bat,,Special Concern,28/11/14,Euderma maculatum,Spotted Bat,,Special Concern,Schedule 1,14/07/05,British Columbia,Mammals (terrestrial),,Add
Spotted Gar,,Endangered,26/11/15,Lepisosteus oculatus,Spotted Gar,,Endangered,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,Uplist
Spotted Owl caurina subspecies,,Endangered,25/04/08,Strix occidentalis  caurina,Spotted Owl caurina subspecies,,Endangered,Schedule 1,05/06/03,British Columbia,Birds,,
Spotted Sucker,,Special Concern,28/11/14,Minytrema melanops,Spotted Sucker,,Special Concern,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,
Spotted Turtle,,Endangered,28/11/14,Clemmys guttata,Spotted Turtle,,Endangered,Schedule 1,14/07/05,"Ontario, Quebec",Reptiles,,Add
Spotted Wintergreen,,Threatened,28/04/17,Chimaphila maculata,Spotted Wintergreen,,Threatened,Schedule 1,05/06/03,"Ontario, Quebec",Vascular Plants,,Downlist
Spotted Wolffish,,Threatened,25/11/12,Anarhichas minor,Spotted Wolffish,,Threatened,Schedule 1,05/06/03,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,
Sprague's Pipit,,Threatened,25/04/10,Anthus spragueii,Sprague's Pipit,,Threatened,Schedule 1,05/06/03,"Alberta, Saskatchewan, Manitoba",Birds,,
Spring Blue-eyed Mary,,Extirpated,01/05/00,Collinsia verna,Spring Blue-eyed Mary,,Extirpated,Schedule 1,05/06/03,Ontario,Vascular Plants,,Add
Spring Cisco,,Endangered,26/04/09,Coregonus  sp.,Spring Cisco,,Endangered,Schedule 1,08/03/13,Quebec,Fishes (freshwater),,Add
Spring Salamander,,Non-active,06/05/11,Gyrinophilus porphyriticus,Spring Salamander,,No Status,No schedule,12/01/05,"Ontario, Quebec",Amphibians,,Add
Spring Salamander,Adirondack / Appalachian population,Threatened,06/05/11,Gyrinophilus porphyriticus,Spring Salamander,Adirondack / Appalachian population,Threatened,Schedule 1,12/01/05,Quebec,Amphibians,,Uplist
Spring Salamander,Carolinian population,Data Deficient,27/04/18,Gyrinophilus porphyriticus,Spring Salamander,Carolinian population,No Status,No schedule,,Ontario,Amphibians,,Referred back
Squanga Whitefish,,Non-active,27/04/18,Coregonus  sp.,Squanga Whitefish,,Special Concern,,,Yukon,Fishes (freshwater),,
Squat Duskysnail,,Data Deficient,01/11/03,Lyogyrus granum,Squat Duskysnail,,No Status,No schedule,,"New Brunswick, Nova Scotia",Molluscs,,
Steelhead Trout,Chilcotin River population,Endangered,04/11/20,Oncorhynchus mykiss,Steelhead Trout,Chilcotin River population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Steelhead Trout,Thompson River population,Endangered,04/11/20,Oncorhynchus mykiss,Steelhead Trout,Thompson River population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Stejneger's Beaked Whale,,Not at Risk,01/04/89,Mesoplodon stejneri,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Steller Sea Lion,,Special Concern,01/11/13,Eumetopias jubatus,Steller Sea Lion,,Special Concern,Schedule 1,14/07/05,"British Columbia, Pacific Ocean",Mammals (marine),,Add
Stoloniferous Pussytoes,,Endangered,01/05/04,Antennaria flagellaris,Stoloniferous Pussytoes,,Endangered,Schedule 1,14/07/05,British Columbia,Vascular Plants,,Add
Streaked Horned Lark,,Endangered,27/04/18,Eremophila alpestris  strigata,Streaked Horned Lark,,Endangered,Schedule 1,14/07/05,British Columbia,Birds,,Add
Streambank Lupine,,Endangered,01/11/02,Lupinus rivularis,Streambank Lupine,,Endangered,Schedule 1,12/01/05,British Columbia,Vascular Plants,,Add
Striped Bass,Bay of Fundy population,Endangered,25/11/12,Morone saxatilis,Striped Bass,Bay of Fundy population,No Status,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending
Striped Bass,Southern Gulf of St. Lawrence population,Special Concern,25/11/12,Morone saxatilis,Striped Bass,Southern Gulf of St. Lawrence population,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending
Striped Bass,St. Lawrence River population,Extinct,29/11/19,Morone saxatilis,Striped Bass,St. Lawrence River population,Endangered,Schedule 1,23/06/11,Quebec,Fishes (freshwater),,Downlist
Striped Dolphin,,Not at Risk,01/04/93,Stenella coeruleoalba,,,No Status,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Striped Shiner,,Not at Risk,01/04/93,Luxilus chrysocephalus,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Striped Whitelip,,Endangered,27/04/18,Webbhelix multilineata,Striped Whitelip,,No Status,No schedule,,Ontario,Molluscs,Addition,Pending
Suckley‰Ûªs Cuckoo Bumble Bee,,Threatened,29/11/19,Bombus suckleyi,Suckley‰Ûªs Cuckoo Bumble Bee,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Arthropods,Addition,Pending
Swamp Rose-mallow,,Special Concern,01/11/04,Hibiscus moscheutos,Swamp Rose-mallow,,Special Concern,Schedule 1,15/08/06,Ontario,Vascular Plants,,Add
Sweet Pepperbush,,Threatened,02/05/14,Clethra alnifolia,Sweet Pepperbush,,Threatened,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Uplist
Swift Fox,,Threatened,05/05/21,Vulpes velox,Swift Fox,,Threatened,Schedule 1,05/06/03,"Alberta, Saskatchewan",Mammals (terrestrial),,Downlist
Tall Beakrush,,Endangered,28/11/14,Rhynchospora macrostachya,Tall Beakrush,,Endangered,Schedule 1,25/02/19,Nova Scotia,Vascular Plants,,Add
Tall Bugbane,,Endangered,27/04/18,Actaea elata,Tall Bugbane,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Add
Tall Woolly-heads,,Endangered,27/04/18,Psilocarphus elatior,Tall Woolly-heads,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Add
Tall Woolly-heads,Prairie population,Non-active,29/04/06,Psilocarphus elatior,Tall Woolly-heads,Prairie population,No Status,No schedule,05/06/03,"Alberta, Saskatchewan",Vascular Plants,,Struck
Taylor's Checkerspot,,Endangered,06/05/11,Euphydryas editha  taylori,Taylor's Checkerspot,,Endangered,Schedule 1,05/06/03,British Columbia,Arthropods,,
Tessellated Darter,,Not at Risk,01/04/93,Etheostoma olmstedi,,,No Status,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Thorny Skate,,Special Concern,04/05/12,Amblyraja radiata,Thorny Skate,,No Status,No schedule,,"Prince Edward Island, Nunavut, Arctic Ocean, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (marine),Addition,Pending
Thread-leaved Sundew,,Endangered,01/05/01,Drosera filiformis,Thread-leaved Sundew,,Endangered,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Add
Threaded Vertigo,,Special Concern,25/04/10,Nearctula  sp.,Threaded Vertigo,,Special Concern,Schedule 1,20/06/12,British Columbia,Molluscs,,Add
Threehorn Wartyback,,Threatened,03/05/13,Obliquaria reflexa,Threehorn Wartyback,,Threatened,Schedule 1,08/08/19,Ontario,Molluscs,,Add
Tiger Salamander,Great Lakes population,Non-active,25/11/12,Ambystoma tigrinum,Tiger Salamander,Great Lakes population,No Status,No schedule,05/06/03,Ontario,Amphibians,,Struck
Tiger Salamander,Prairie / Boreal population,Non-active,25/11/12,Ambystoma tigrinum,,,No Status,No schedule,,"Alberta, Saskatchewan, Manitoba",Amphibians,,
Tiger Salamander,Southern Mountain population,Non-active,25/11/12,Ambystoma tigrinum,Tiger Salamander,Southern Mountain population,No Status,No schedule,05/06/03,British Columbia,Amphibians,,Struck
Timber Rattlesnake,,Extirpated,26/11/10,Crotalus horridus,Timber Rattlesnake,,Extirpated,Schedule 1,05/06/03,Ontario,Reptiles,,
Tiny Cryptantha,,Threatened,04/05/12,Cryptantha minima,Tiny Cryptantha,,Threatened,Schedule 1,05/06/03,"Alberta, Saskatchewan",Vascular Plants,,Downlist
Tiny Tassel,,Special Concern,28/11/14,Crossidium seriatum,Tiny Tassel,,Special Concern,Schedule 1,25/02/19,British Columbia,Mosses,,Add
Toothcup,,Non-active,28/11/14,Rotala ramosior,Toothcup,,No Status,No schedule,05/06/03,"British Columbia, Ontario",Vascular Plants,,Struck
Toothcup,Great Lakes Plains population,Threatened,28/11/14,Rotala ramosior,Toothcup,Great Lakes Plains population,Threatened,Schedule 1,05/06/03,Ontario,Vascular Plants,,Downlist
Toothcup,Southern Mountain population,Endangered,28/11/14,Rotala ramosior,Toothcup,Southern Mountain population,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Toothed Globe,,Endangered,29/11/19,Mesodon zaletus,Toothed Globe,,No Status,No schedule,,Ontario,Molluscs,Addition,Pending
Tope,,Special Concern,05/05/21,Galeorhinus galeus,Tope,,Special Concern,Schedule 1,05/03/09,"British Columbia, Pacific Ocean",Fishes (marine),,Add
Townsend's Mole,,Endangered,28/11/14,Scapanus townsendii,Townsend's Mole,,Endangered,Schedule 1,12/01/05,British Columbia,Mammals (terrestrial),,Add
Transverse Lady Beetle,,Special Concern,27/11/16,Coccinella transversoguttata,Transverse Lady Beetle,,Special Concern,Schedule 1,12/08/21,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Arthropods,,Add
Tri-colored Bat,,Endangered,01/11/13,Perimyotis subflavus,Tri-coloured Bat,,Endangered,Schedule 1,26/11/14,"Ontario, Quebec, New Brunswick, Nova Scotia",Mammals (terrestrial),,Add
True's Beaked Whale,,Not at Risk,01/04/89,Mesoplodon mirus,,,No Status,No schedule,,Atlantic Ocean,Mammals (marine),,
Trumpeter Swan,,Not at Risk,01/04/96,Cygnus buccinator,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Alberta, Saskatchewan, Ontario",Birds,,
Tubercled Spike-rush,,Special Concern,25/04/10,Eleocharis tuberculosa,Tubercled Spike-rush,,Special Concern,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Downlist
Tuberous Indian-plantain,,Special Concern,01/05/02,Arnoglossum plantagineum,Tuberous Indian-plantain,,Special Concern,Schedule 1,12/01/05,Ontario,Vascular Plants,,Add
Turnor's Willow,,Special Concern,27/04/18,Salix turnorii,Turnor's Willow,,Special Concern,Schedule 1,05/06/03,Saskatchewan,Vascular Plants,,Add
Tweedy's Lewisia,,Endangered,01/11/13,Lewisiopsis tweedyi,Tweedy's Lewisia,,Endangered,Schedule 1,02/02/18,British Columbia,Vascular Plants,,Add
Twisted Oak Moss,,Special Concern,28/11/14,Syntrichia laevipila,Twisted Oak Moss,,Special Concern,Schedule 1,14/07/05,British Columbia,Mosses,,Add
Tyrrell's Willow,,Not at Risk,01/04/99,Salix tyrrellii,,,No Status,No schedule,,"Northwest Territories, Nunavut, Saskatchewan",Vascular Plants,,
Umatilla Dace,,Threatened,25/04/10,Rhinichthys umatilla,Umatilla Dace,,Special Concern,,,British Columbia,Fishes (freshwater),,Pending
Unarmoured Threespine Stickleback,,Special Concern,01/11/13,Gasterosteus aculeatus,Unarmoured Threespine Stickleback,,Special Concern,Schedule 1,08/08/19,British Columbia,Fishes (freshwater),,Add
Unisexual Ambystoma,Blue-spotted Salamander dependent population,Not at Risk,29/04/16,Ambystoma (2) laterale - jeffersonianum,,,No Status,No schedule,,"Ontario, Quebec, New Brunswick, Nova Scotia",Amphibians,,
Unisexual Ambystoma,Jefferson Salamander dependent population,Endangered,29/04/16,Ambystoma laterale - (2) jeffersonianum,Unisexual Ambystoma,Jefferson Salamander dependent population,Endangered,Schedule 1,12/08/21,Ontario,Amphibians,,Add
Unisexual Ambystoma,Small-mouthed Salamander dependent population,Endangered,29/04/16,Ambystoma laterale - texanum,Unisexual Ambystoma,Small-mouthed Salamander dependent population,Endangered,Schedule 1,12/08/21,Ontario,Amphibians,,Add
Upper Great Lakes Kiyi,,Special Concern,05/05/05,Coregonus kiyi  kiyi,Upper Great Lakes Kiyi,,Special Concern,Schedule 1,13/12/07,Ontario,Fishes (freshwater),,Add
Ute Ladies‰Ûª‰ÛÒtresses,,Endangered,01/11/18,Spiranthes diluvialis,Ute Ladies‰Ûª‰ÛÒtresses,,No Status,No schedule,,British Columbia,Vascular Plants,Addition,Pending
Van Brunt's Jacob's-ladder,,Threatened,01/11/02,Polemonium vanbruntiae,Van Brunt's Jacob's-ladder,,Threatened,Schedule 1,12/01/05,Quebec,Vascular Plants,,Add
Vananda Creek Benthic Threespine Stickleback,,Endangered,25/04/10,Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,,Endangered,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
Vananda Creek Limnetic Threespine Stickleback,,Endangered,25/04/10,Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,,Endangered,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
Vancouver Island Beggarticks,,Special Concern,01/11/01,Bidens amplissima,Vancouver Island Beggarticks,,Special Concern,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Add
Vancouver Island Marmot,,Endangered,03/05/19,Marmota vancouverensis,Vancouver Island Marmot,,Endangered,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,
Vancouver Lamprey,,Threatened,01/11/17,Entosphenus macrostomus,Vancouver Lamprey,,Threatened,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
Verna's Flower Moth,,Threatened,01/11/17,Schinia verna,Verna's Flower Moth,,Threatened,Schedule 1,05/03/09,"Alberta, Saskatchewan, Manitoba",Arthropods,,Add
Victoria's Owl-clover,,Endangered,25/04/10,Castilleja victoriae,Victoria's Owl-clover,,Endangered,Schedule 1,20/06/12,British Columbia,Vascular Plants,,Add
Victorin's Gentian,,Threatened,01/05/04,Gentianopsis virgata  ssp. victorinii,Victorin's Gentian,,Threatened,Schedule 1,14/07/05,Quebec,Vascular Plants,,Add
Victorin's Water-hemlock,,Special Concern,01/05/04,Cicuta maculata  var. victorinii,Victorin's Water-hemlock,,Special Concern,Schedule 1,14/07/05,Quebec,Vascular Plants,,Add
