Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Atlantic Walrus,Eastern Arctic population,Non-active,29/04/06,Odobenus rosmarus  rosmarus,,,No Status,No schedule,,"Nunavut, Arctic Ocean, Manitoba, Quebec, Newfoundland and Labrador",Mammals (marine),,
Atlantic Walrus,High Arctic population,Special Concern,28/04/17,Odobenus rosmarus  rosmarus,Atlantic Walrus,High Arctic population,No Status,No schedule,05/06/03,"Nunavut, Arctic Ocean",Mammals (marine),Addition,Pending
Atlantic Walrus,Northwest Atlantic population,Non-active,29/04/06,Odobenus rosmarus  rosmarus,Atlantic Walrus,Northwest Atlantic population,Extirpated,Schedule 1,05/06/03,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (marine),,Add
Atlantic Walrus,Nova Scotia - Newfoundland - Gulf of St Lawrence population,Extinct,28/04/17,Odobenus rosmarus  rosmarus,,,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Mammals (marine),,
Atlantic White-sided Dolphin,,Not at Risk,01/04/91,Lagenorhynchus acutus,,,No Status,No schedule,,Atlantic Ocean,Mammals (marine),,
Atlantic Whitefish,,Endangered,26/11/10,Coregonus huntsmani,Atlantic Whitefish,,Endangered,Schedule 1,05/06/03,Nova Scotia,Fishes (freshwater),,
Atlantic Wolffish,,Special Concern,25/11/12,Anarhichas lupus,Atlantic Wolffish,,Special Concern,Schedule 1,05/06/03,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,
Audouin‰Ûªs Night-stalking Tiger Beetle,,Threatened,01/11/13,Omus audouini,Audouin‰Ûªs Night-stalking Tiger Beetle,,Threatened,Schedule 1,30/05/18,British Columbia,Arthropods,,Add
Aurora Trout,,Non-active,06/05/11,Salvelinus fontinalis  timagamiensis,Aurora Trout,,No Status,No schedule,05/06/03,Ontario,Fishes (freshwater),,Struck
Aweme Borer,,Data Deficient,04/11/20,Papaipema aweme,Aweme Borer,,Endangered,Schedule 1,13/12/07,"Saskatchewan, Manitoba, Ontario",Arthropods,Status change,Pending
Baikal Sedge,,Special Concern,29/04/16,Carex sabulosa,Baikal Sedge,,Special Concern,Schedule 1,15/08/06,Yukon,Vascular Plants,,Downlist
Baird's Beaked Whale,,Not at Risk,01/04/92,Berardius bairdii,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Baird's Sparrow,,Special Concern,04/05/12,Ammodramus bairdii,Baird's Sparrow,,Special Concern,Schedule 1,03/02/17,"Alberta, Saskatchewan, Manitoba",Birds,,Add
Bald Eagle,,Not at Risk,01/04/84,Haliaeetus leucocephalus,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Band-tailed Pigeon,,Special Concern,05/05/21,Patagioenas fasciata,Band-tailed Pigeon,,Special Concern,Schedule 1,04/02/11,British Columbia,Birds,,Add
