SP_QUAL,NOM_UC,TYPE_UC,INDICE_UC,Shape_Leng,Shape_Area
SEL,Kluatantan,Current,SEL-22-06,0.76860361590,0.01484833352
SEL,Motase,Current,SEL-22-08,0.76472497114,0.01896219701
SEL,Spawning,Current,SEL-22-11,0.35774667246,0.00455658444
SEL,Sustut,Current,SEL-22-12,0.58800794786,0.01008609654
SEL,Oweegee,Current,SEL-24-06,0.45950225392,0.00819978258
SEL,Christina,Current,SEL-26-01,0.85815432418,0.02097543471
SEL,Kuthai,Current,SEL-28-01,0.43520007384,0.00754252873
SEL,King Salmon,Current,SEL-28-05,0.82786951217,0.01246510558
SEL,Blanchard,Current,SEL-30-01,1.39571739022,0.01597283590
SEL,Klukshu,Current,SEL-30-02,0.77480897784,0.01729496822
SEL,Neskatahin,Current,SEL-30-03,0.24323399875,0.00182889051
